id,display-name,url
3331.stations.xmltv.tvmedia.ca,ESPN U,www.espn.com
2114.stations.xmltv.tvmedia.ca,Fox Sports 2,www.foxsports.com
1649.stations.xmltv.tvmedia.ca,MSG (Madison Square Gardens),www.msgnetwork.com
1953.stations.xmltv.tvmedia.ca,YES Network,www.yesnetworktv.com
3349.stations.xmltv.tvmedia.ca,NFL Network,
6921.stations.xmltv.tvmedia.ca,NFL RedZone,www.nfl.com/ticket/
13711.stations.xmltv.tvmedia.ca,SEC Network,www.secdigitalnetwork.com/
13759.stations.xmltv.tvmedia.ca,SEC Network Alternate,www.secdigitalnetwork.com/
10853.stations.xmltv.tvmedia.ca,beIN Sport USA,
10855.stations.xmltv.tvmedia.ca,beIN Sport en Espanol,
4349.stations.xmltv.tvmedia.ca,Universal Kids,
2268.stations.xmltv.tvmedia.ca,Boomerang,
4225.stations.xmltv.tvmedia.ca,Discovery Family Channel,
1969.stations.xmltv.tvmedia.ca,Nick Jr. - East,
2010.stations.xmltv.tvmedia.ca,Nicktoons - East,
1954.stations.xmltv.tvmedia.ca,TeenNick - Eastern,
6335.stations.xmltv.tvmedia.ca,Qubo,
32612.stations.xmltv.tvmedia.ca,"Shop LC (WLWT3) Cincinnati, OH",www.wlwt.com/
615.stations.xmltv.tvmedia.ca,BBC America - East,www.bbcamerica.com
6828.stations.xmltv.tvmedia.ca,Daystar  - Network,
618.stations.xmltv.tvmedia.ca,Esquire Network - Eastern,WWW.EONLINE.COM
2707.stations.xmltv.tvmedia.ca,Lifetime Real Women East,www.mylifetime.com
1966.stations.xmltv.tvmedia.ca,Independent Film Channel US,
176.stations.xmltv.tvmedia.ca,Turner Classic Movies USA,www.tcm.com
1308.stations.xmltv.tvmedia.ca,FX Movie Channel,www.fxnetworks.com/fxm
527.stations.xmltv.tvmedia.ca,BBC News - North America,www.bbcworld.com
11294.stations.xmltv.tvmedia.ca,Fusion,
2673.stations.xmltv.tvmedia.ca,RFD-TV,www.rfdtv.com
2074.stations.xmltv.tvmedia.ca,Destination America,www.destinationamerica.com
1159.stations.xmltv.tvmedia.ca,Oprah Winfrey Network USA Eastern,
1960.stations.xmltv.tvmedia.ca,Science,
2090.stations.xmltv.tvmedia.ca,Investigation Discovery USA - Eastern,
2035.stations.xmltv.tvmedia.ca,American Heroes Channel,
4656.stations.xmltv.tvmedia.ca,Fox Business,
13504.stations.xmltv.tvmedia.ca,CCTV9 Documentary (English),cctv.cntv.cn/documentary/
657.stations.xmltv.tvmedia.ca,National Geographic US - Eastern,
1971.stations.xmltv.tvmedia.ca,FYI USA - Eastern,www.fyi.tv
624.stations.xmltv.tvmedia.ca,VICE,
1856.stations.xmltv.tvmedia.ca,Bloomberg TV USA,https://pluto.tv/live-tv/
1952.stations.xmltv.tvmedia.ca,FXX USA - Eastern,
193.stations.xmltv.tvmedia.ca,Golf Channel USA,www.thegolfchannel.com
1386.stations.xmltv.tvmedia.ca,NBC Sports Network,
1086.stations.xmltv.tvmedia.ca,Outdoor Channel US,
1629.stations.xmltv.tvmedia.ca,The Cowboy Channel,
14986.stations.xmltv.tvmedia.ca,FanDuel TV,www.tvg.com
1527.stations.xmltv.tvmedia.ca,ESPN News,espn.go.com
2093.stations.xmltv.tvmedia.ca,MTV Classic - East,
2288.stations.xmltv.tvmedia.ca,CMT Music,www.cmt.com
3229.stations.xmltv.tvmedia.ca,BET Soul,
1515.stations.xmltv.tvmedia.ca,MTV 2 - East,
2701.stations.xmltv.tvmedia.ca,MTV U,www.mtv.com
2112.stations.xmltv.tvmedia.ca,NickMusic,www.cdr.cr
1486.stations.xmltv.tvmedia.ca,FUSE TV - Eastern feed,
4679.stations.xmltv.tvmedia.ca,Smithsonian Channel USA,
7537.stations.xmltv.tvmedia.ca,National Geographic Wild,
10165.stations.xmltv.tvmedia.ca,POP - East,
4453.stations.xmltv.tvmedia.ca,Hallmark Movies & Mysteries - Eastern,
622.stations.xmltv.tvmedia.ca,Magnolia - East,
4226.stations.xmltv.tvmedia.ca,The Cooking Channel,
4175.stations.xmltv.tvmedia.ca,ReelzChannel,www.reelz.com
614.stations.xmltv.tvmedia.ca,HBO - Eastern Feed,
626.stations.xmltv.tvmedia.ca,HBO 2 - Eastern Feed,
628.stations.xmltv.tvmedia.ca,HBO Family - Eastern Feed,
1651.stations.xmltv.tvmedia.ca,HBO Signature (HBO 3) - Eastern,
631.stations.xmltv.tvmedia.ca,HBO Latino (HBO 7) - Eastern,www.hbo.com
629.stations.xmltv.tvmedia.ca,HBO Comedy - East,www.hbo.com
630.stations.xmltv.tvmedia.ca,HBO Zone - East,www.hbo.com
632.stations.xmltv.tvmedia.ca,Cinemax - Eastern Feed,
634.stations.xmltv.tvmedia.ca,MoreMax  Eastern,
1377.stations.xmltv.tvmedia.ca,ActionMax - Eastern,
1652.stations.xmltv.tvmedia.ca,ThrillerMax - East,
1653.stations.xmltv.tvmedia.ca,MovieMax (Max 6) - East,
639.stations.xmltv.tvmedia.ca,Cinemáx - East,WWW.CINEMAX.COM
636.stations.xmltv.tvmedia.ca,5 Star Max - Eastern,
2270.stations.xmltv.tvmedia.ca,OuterMax - Eastern,WWW.CINEMAX.COM
665.stations.xmltv.tvmedia.ca,Showtime - Eastern Feed,
1387.stations.xmltv.tvmedia.ca,Showtime 2 - Eastern,
2077.stations.xmltv.tvmedia.ca,SHOXBET - Eastern,
1615.stations.xmltv.tvmedia.ca,Showtime Extreme - Eastern,
2271.stations.xmltv.tvmedia.ca,Showtime Showcase - Eastern,
2272.stations.xmltv.tvmedia.ca,Showtime Next - Eastern,www.sho.com
2273.stations.xmltv.tvmedia.ca,Showtime Women - Eastern,
1956.stations.xmltv.tvmedia.ca,Showtime Family Zone - Eastern,
666.stations.xmltv.tvmedia.ca,TMC (US) - Eastern Feed,
4350.stations.xmltv.tvmedia.ca,TMC Xtra - Eastern,
1848.stations.xmltv.tvmedia.ca,SundanceTV USA - East,
1399.stations.xmltv.tvmedia.ca,FLIX - Eastern,
583.stations.xmltv.tvmedia.ca,Starz - Eastern,www.starz.com
2120.stations.xmltv.tvmedia.ca,Starz Edge - Eastern,www.starz.com
1957.stations.xmltv.tvmedia.ca,Starz In Black - Eastern,www.starz.com
1194.stations.xmltv.tvmedia.ca,Starz Kids & Family - Eastern,www.starz.com
2680.stations.xmltv.tvmedia.ca,Starz Cinema - Eastern,www.starz.com
4223.stations.xmltv.tvmedia.ca,Starz Comedy - Eastern,www.starz.com
667.stations.xmltv.tvmedia.ca,Starz Encore - Eastern,www.starz.com
1959.stations.xmltv.tvmedia.ca,Starz Encore Westerns - Eastern,www.starz.com
2080.stations.xmltv.tvmedia.ca,Starz Encore Classic - Eastern,www.starz.com
1958.stations.xmltv.tvmedia.ca,Starz Encore Suspense - Eastern,www.starz.com
4206.stations.xmltv.tvmedia.ca,Starz Encore Black - Eastern,www.starz.com
2078.stations.xmltv.tvmedia.ca,Starz Encore Action - Eastern,www.starz.com
2128.stations.xmltv.tvmedia.ca,Starz Encore Family - Eastern,www.starz.com
7096.stations.xmltv.tvmedia.ca,HBO Latino (HBO 7) HD - Eastern,www.hbo.com
7102.stations.xmltv.tvmedia.ca,HBO Zone HD - East,www.hbo.com
7097.stations.xmltv.tvmedia.ca,MoreMax - Eastern HD,www.cinemax.com
7110.stations.xmltv.tvmedia.ca,SHOXBET HD - Eastern,www.sho.com
7107.stations.xmltv.tvmedia.ca,Showtime Extreme HD - Eastern,www.sho.com
7113.stations.xmltv.tvmedia.ca,TMC Xtra HD - Eastern,www.sho.com
10814.stations.xmltv.tvmedia.ca,Starz Encore Black HD - Eastern,www.starz.com
7506.stations.xmltv.tvmedia.ca,FXX USA HD - Eastern,www.fxnetworks.com/fxx
13712.stations.xmltv.tvmedia.ca,SEC Network HD,www.secdigitalnetwork.com/
6985.stations.xmltv.tvmedia.ca,CBS Sports Network USA HD,
8308.stations.xmltv.tvmedia.ca,ESPN Goal Line HD,
10263.stations.xmltv.tvmedia.ca,Fox Sports 2 HD,www.foxsports.com
16418.stations.xmltv.tvmedia.ca,NBC Universo HD - Eastern,www.holamun2.com/grid
7536.stations.xmltv.tvmedia.ca,NFL RedZone HD,www.nfl.com/REDZONE
6211.stations.xmltv.tvmedia.ca,FYI USA HD - Eastern,www.fyi.tv
7300.stations.xmltv.tvmedia.ca,VICE HD,www.viceland.com
6997.stations.xmltv.tvmedia.ca,Investigation Discovery USA HD - Eastern,www.investigationdiscovery.com
9579.stations.xmltv.tvmedia.ca,National Geographic Wild HD,WWW.NATGEOCHANNEL.COM
5600.stations.xmltv.tvmedia.ca,Fox Business HD,www.foxbusiness.com
8587.stations.xmltv.tvmedia.ca,Oprah Winfrey Network USA Eastern HD,www.health.discovery.com
8114.stations.xmltv.tvmedia.ca,Magnolia HD - East,www.diynetwork.com
8113.stations.xmltv.tvmedia.ca,The Cooking Channel HD,
6221.stations.xmltv.tvmedia.ca,FUSE TV HD - Eastern,www.muchmusic.com/usa
6214.stations.xmltv.tvmedia.ca,Hallmark Movies & Mysteries Eastern - HD,www.hallmarkmoviesandmysteries.com
6215.stations.xmltv.tvmedia.ca,Independent Film Channel US HD,www.ifc.com
8836.stations.xmltv.tvmedia.ca,ReelzChannel HD,
11121.stations.xmltv.tvmedia.ca,BBC America - East HD,www.bbcamerica.com/servlet/Homelude
8815.stations.xmltv.tvmedia.ca,TV Land - Eastern HD,www.tvland.com
6980.stations.xmltv.tvmedia.ca,RFD-TV HD,www.rfdtv.com
19128.stations.xmltv.tvmedia.ca,"CW (Week-DT3) Peoria, IL HD",www.week.com
4596.stations.xmltv.tvmedia.ca,"ABC (WEEK-DT2) Peoria, IL HD",www.week.com
4602.stations.xmltv.tvmedia.ca,"NBC (WEEK) Bloomington, IL HD",www.week.com/
4600.stations.xmltv.tvmedia.ca,"CBS (WMBD) Central Illinois, IL HD",www.wmbd.com/
